disciplinecode,coursecode,name,syllabus,workload,creditcount
PRG101,ADS,Introdução à Programação,Logica e algoritmos,60,4
BD202,ADS,Banco de Dados II,Modelagem e SQL,90,6
WEB101,ADS,Desenvolvimento Web,HTML CSS e JS,60,4
ALC301,BCC,Álgebra Linear,Matematica vetorial,75,5
SEC401,BCC,Segurança da Informação,Criptografia e redes,90,6
BCC101,BCC,Algoritmos Avançados,Grafos e complexidade,90,6
DIR101,DIR,Direito Civil,Introdução ao direito,60,4
DIR102,DIR,Direito Penal,Teoria do crime,60,4
DIR201,DIR,Direito Constitucional,Controle de constitucionalidade,90,6
ADM101,ADM,Gestão de Pessoas,Recursos humanos,60,4
ADM202,ADM,Contabilidade Geral,Balanço e DRE,75,5
ENG101,ENG,Cálculo I,Limites e derivadas,90,6
ENG102,ENG,Física I,Mecânica clássica,90,6
ENG201,ENG,Cálculo II,Integrais e séries,90,6
ENG301,ENG,Engenharia de Requisitos,UML e User Stories,60,4
